State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Sex_Ratio,Litercay_Rate
Haryana,Panchkula,30.700897142857137,76.97173238095236,69,561293,229862,175456,490702,23451,2583,40951,1008,1626,90,1146.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,464136,322463,1083936,86622,2261,25064,289,4647,99,1158.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,375453,261494,889133,5713,701,1804,202,1525,12,1113.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,436025,311557,1043887,8185,732,3916,200,3491,24,1154.0,70.0
Haryana,Sirsa,29.635834463276836,74.90970480225988,79,1295189,456968,325929,940255,9524,2186,338962,370,2256,624,1114.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,155599,132021,371973,6984,236,2387,113,10,7,1019.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,932474,664086,2540763,57973,20745,6373,2979,2357,29122,1030.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,186064,137778,479782,32455,1559,2745,1740,57,14,1014.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,180555,177536,449412,3711,243,591,95,293,9,913.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,408125,245174,1010014,91269,814,196,74,41,273,1162.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,606443,546197,1461140,19797,3023,8929,14511,194,208,988.0,76.0
Himachal Pradesh,Kinnaur,31.606671840659335,78.51613736263741,34,84121,36697,24002,64732,448,485,249,18086,29,45,1221.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,174550,133122,415669,2974,1568,1396,15377,94,83,1061.0,70.0
Himachal Pradesh,Mandi,31.635805940594057,76.96556930693067,27,999777,393669,330078,981412,9460,876,4081,2628,43,86,993.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,342846,269796,791449,11810,2025,4047,3262,185,197,1093.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,205617,157028,476830,33215,577,15501,2645,236,86,1090.0,68.0
Himachal Pradesh,Solan,31.038643119266037,76.94442140672783,31,580320,244372,184206,548579,14678,1452,13926,574,591,110,1137.0,74.0
Himachal Pradesh,Una,31.583303883495137,76.18353932038836,29,521173,213281,186434,480138,14275,390,26009,56,70,10,1024.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,138620,80463,187621,220614,472,422,21,22,42,1088.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,641916,495219,1289240,107489,12104,114272,470,1987,321,1136.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,56301,29935,10341,108239,604,1171,20126,28,4,1234.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,228499,160705,540063,64234,1828,9551,24,16,2,1123.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,178326,115632,13840,535159,1109,9440,35,6,18,1096.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,163333,98391,32604,431279,958,11188,83,10,2,1120.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,431746,316838,42540,1177342,2746,12187,285,74,2,1112.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,197543,124811,489044,59771,1962,3418,106,57,235,1149.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,759088,514432,1636460,241451,13730,4174,1890,2045,160524,1084.0,62.0
Jharkhand,Chatra,24.116199457504532,84.93295804701627,347,1042886,303902,206159,903179,116710,6565,888,35,129,12936,1049.0,49.0
Jharkhand,Deoghar,24.330701007556716,86.75697632241814,350,1492073,489837,303701,1165140,302626,6027,143,188,282,16067,1081.0,53.0
